time_stamp,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2023-11-15T17:00:00+00:00,8.6,8.4,8.7
2023-11-15T18:00:00+00:00,5.0,5.1,5.0
2023-11-15T19:00:00+00:00,3.9,3.9,3.8
2023-11-15T20:00:00+00:00,5.3,5.3,5.4
2023-11-15T21:00:00+00:00,8.2,8.1,8.3
2023-11-15T22:00:00+00:00,6.9,6.8,7.0
2023-11-15T23:00:00+00:00,6.4,6.3,6.6
2023-11-16T00:00:00+00:00,9.4,9.2,9.7
2023-11-16T01:00:00+00:00,8.9,8.8,9.0
2023-11-16T02:00:00+00:00,5.2,4.9,5.4
2023-11-16T03:00:00+00:00,4.3,4.1,4.5
2023-11-16T04:00:00+00:00,2.9,2.6,3.3
2023-11-16T05:00:00+00:00,4.0,3.7,4.3
2023-11-16T06:00:00+00:00,4.6,4.3,5.0
2023-11-16T07:00:00+00:00,7.3,7.1,7.5
2023-11-16T08:00:00+00:00,7.2,6.9,7.6
2023-11-16T09:00:00+00:00,5.9,5.5,6.3
2023-11-16T10:00:00+00:00,4.7,4.3,5.1
2023-11-16T11:00:00+00:00,4.8,4.4,5.1
2023-11-16T12:00:00+00:00,6.3,6.1,6.5
2023-11-16T13:00:00+00:00,5.6,5.3,5.8
2023-11-16T14:00:00+00:00,3.9,3.4,4.3
2023-11-16T15:00:00+00:00,3.6,3.2,3.9
2023-11-16T16:00:00+00:00,1.8,1.7,2.0
2023-11-16T17:00:00+00:00,1.6,1.6,1.6
2023-11-16T18:00:00+00:00,0.1,0.1,0.1
2023-11-16T19:00:00+00:00,0.1,0.1,0.1
2023-11-16T20:00:00+00:00,0.7,0.8,0.7
2023-11-16T21:00:00+00:00,0.3,0.3,0.3
2023-11-16T22:00:00+00:00,0.2,0.2,0.2
2023-11-16T23:00:00+00:00,0.2,0.3,0.2
2023-11-17T00:00:00+00:00,0.4,0.4,0.5
2023-11-17T01:00:00+00:00,0.9,0.8,0.9
2023-11-17T02:00:00+00:00,1.8,1.7,1.8
2023-11-17T03:00:00+00:00,10.6,10.2,11.0
2023-11-17T04:00:00+00:00,13.8,13.3,14.3
2023-11-17T05:00:00+00:00,17.2,16.8,17.6
2023-11-17T06:00:00+00:00,26.5,25.9,27.2
2023-11-17T07:00:00+00:00,26.9,26.6,27.2
2023-11-17T08:00:00+00:00,23.5,23.2,23.8
2023-11-17T09:00:00+00:00,15.0,14.4,15.6
2023-11-17T10:00:00+00:00,25.1,24.3,25.9
2023-11-17T11:00:00+00:00,21.2,20.2,22.2
2023-11-17T12:00:00+00:00,16.0,15.5,16.5
2023-11-17T13:00:00+00:00,15.2,15.5,14.9
2023-11-17T14:00:00+00:00,9.5,9.1,9.9
2023-11-17T15:00:00+00:00,6.8,6.6,6.9
2023-11-17T16:00:00+00:00,6.8,6.9,6.7
2023-11-17T17:00:00+00:00,4.1,4.3,3.8
2023-11-17T18:00:00+00:00,3.2,3.6,2.9
2023-11-17T19:00:00+00:00,3.2,3.4,2.9
2023-11-17T20:00:00+00:00,3.4,3.6,3.2
2023-11-17T21:00:00+00:00,3.8,4.1,3.5
2023-11-17T22:00:00+00:00,3.8,4.0,3.6
2023-11-17T23:00:00+00:00,2.9,3.1,2.7
2023-11-18T00:00:00+00:00,2.8,2.8,2.8
2023-11-18T01:00:00+00:00,2.8,2.8,2.7
2023-11-18T02:00:00+00:00,5.7,5.7,5.7
2023-11-18T03:00:00+00:00,12.9,12.9,12.9
2023-11-18T04:00:00+00:00,3.6,3.6,3.7
2023-11-18T05:00:00+00:00,4.4,4.0,4.8
2023-11-18T06:00:00+00:00,3.3,3.2,3.5
2023-11-18T07:00:00+00:00,3.1,3.1,3.2
2023-11-18T08:00:00+00:00,4.0,3.9,4.1
2023-11-18T09:00:00+00:00,3.2,3.3,3.2
2023-11-18T10:00:00+00:00,4.5,4.4,4.5
2023-11-18T11:00:00+00:00,6.4,6.3,6.5
2023-11-18T12:00:00+00:00,4.8,4.7,4.9
2023-11-18T13:00:00+00:00,6.2,6.0,6.4
2023-11-18T14:00:00+00:00,2.0,1.9,2.1
2023-11-18T15:00:00+00:00,0.6,0.5,0.7
2023-11-18T16:00:00+00:00,0.1,0.0,0.1
2023-11-18T17:00:00+00:00,0.1,0.1,0.1
2023-11-18T18:00:00+00:00,0.7,0.5,1.0
2023-11-18T19:00:00+00:00,1.2,1.0,1.4
2023-11-18T20:00:00+00:00,3.8,3.5,4.1
2023-11-18T21:00:00+00:00,0.8,0.6,1.0
2023-11-18T22:00:00+00:00,0.1,0.0,0.1
2023-11-18T23:00:00+00:00,0.1,0.0,0.1
2023-11-19T00:00:00+00:00,0.2,0.1,0.3
2023-11-19T01:00:00+00:00,2.8,2.5,3.0
2023-11-19T02:00:00+00:00,5.4,5.3,5.6
2023-11-19T03:00:00+00:00,2.3,2.1,2.6
2023-11-19T04:00:00+00:00,6.1,6.0,6.2
2023-11-19T05:00:00+00:00,8.3,8.2,8.3
2023-11-19T06:00:00+00:00,9.9,9.9,9.9
2023-11-19T07:00:00+00:00,10.0,9.9,10.0
2023-11-19T08:00:00+00:00,11.7,11.7,11.7
2023-11-19T09:00:00+00:00,7.0,6.8,7.3
2023-11-19T10:00:00+00:00,1.1,0.6,1.5
2023-11-19T11:00:00+00:00,1.1,0.6,1.7
2023-11-19T12:00:00+00:00,1.3,0.6,1.9
2023-11-19T13:00:00+00:00,1.5,0.8,2.3
2023-11-19T14:00:00+00:00,1.3,0.6,2.0
2023-11-19T15:00:00+00:00,1.5,0.8,2.2
2023-11-19T16:00:00+00:00,1.5,0.8,2.2
2023-11-19T17:00:00+00:00,1.1,0.6,1.7
2023-11-19T18:00:00+00:00,1.1,0.8,1.4
2023-11-19T19:00:00+00:00,0.7,0.5,0.8
2023-11-19T20:00:00+00:00,0.3,0.2,0.4
2023-11-19T21:00:00+00:00,0.3,0.1,0.5
2023-11-19T22:00:00+00:00,0.2,0.1,0.2
2023-11-19T23:00:00+00:00,0.1,0.0,0.2
2023-11-20T00:00:00+00:00,0.1,0.0,0.2
2023-11-20T01:00:00+00:00,0.1,0.0,0.2
2023-11-20T02:00:00+00:00,0.4,0.1,0.7
2023-11-20T03:00:00+00:00,0.3,0.1,0.5
2023-11-20T04:00:00+00:00,0.4,0.1,0.7
2023-11-20T05:00:00+00:00,0.8,0.5,1.2
2023-11-20T06:00:00+00:00,1.5,1.0,2.0
2023-11-20T07:00:00+00:00,5.0,4.5,5.5
2023-11-20T08:00:00+00:00,5.5,5.0,5.9
2023-11-20T09:00:00+00:00,1.4,0.8,2.0
2023-11-20T10:00:00+00:00,1.3,0.8,1.8
2023-11-20T11:00:00+00:00,2.1,1.4,2.8
2023-11-20T12:00:00+00:00,2.9,2.2,3.6
2023-11-20T13:00:00+00:00,5.2,4.5,5.9
2023-11-20T14:00:00+00:00,6.0,5.4,6.7
2023-11-20T15:00:00+00:00,8.2,7.6,8.7
2023-11-20T16:00:00+00:00,8.6,8.8,8.3
2023-11-20T17:00:00+00:00,7.5,7.9,7.2
2023-11-20T18:00:00+00:00,6.8,7.2,6.4
2023-11-20T19:00:00+00:00,7.0,7.5,6.6
2023-11-20T20:00:00+00:00,5.7,5.9,5.6
2023-11-20T21:00:00+00:00,3.7,3.5,3.9
2023-11-20T22:00:00+00:00,4.4,4.2,4.7
2023-11-20T23:00:00+00:00,3.9,3.6,4.1
2023-11-21T00:00:00+00:00,6.9,6.9,6.9
2023-11-21T01:00:00+00:00,2.4,2.1,2.7
2023-11-21T02:00:00+00:00,5.2,5.0,5.4
2023-11-21T03:00:00+00:00,15.6,15.4,15.9
2023-11-21T04:00:00+00:00,16.3,16.2,16.4
2023-11-21T05:00:00+00:00,9.5,9.3,9.8
2023-11-21T06:00:00+00:00,9.3,8.9,9.6
2023-11-21T07:00:00+00:00,10.5,9.8,11.1
2023-11-21T08:00:00+00:00,5.7,5.3,6.1
2023-11-21T09:00:00+00:00,4.2,3.8,4.6
2023-11-21T10:00:00+00:00,4.1,3.7,4.5
2023-11-21T11:00:00+00:00,5.0,4.3,5.7
2023-11-21T12:00:00+00:00,5.9,5.1,6.6
2023-11-21T13:00:00+00:00,5.6,4.8,6.3
2023-11-21T14:00:00+00:00,6.0,5.4,6.7
2023-11-21T15:00:00+00:00,10.3,9.5,11.0
2023-11-21T16:00:00+00:00,17.9,18.0,17.8
2023-11-21T17:00:00+00:00,12.0,12.5,11.5
2023-11-21T18:00:00+00:00,10.5,11.0,10.0
2023-11-21T19:00:00+00:00,5.2,5.3,5.1
2023-11-21T20:00:00+00:00,2.7,2.8,2.5
2023-11-21T21:00:00+00:00,2.4,2.3,2.4
2023-11-21T22:00:00+00:00,1.9,1.9,1.9
2023-11-21T23:00:00+00:00,2.4,2.4,2.5
2023-11-22T00:00:00+00:00,5.0,5.1,5.0
2023-11-22T01:00:00+00:00,5.7,5.6,5.7
2023-11-22T02:00:00+00:00,8.6,8.3,9.0
2023-11-22T03:00:00+00:00,10.0,9.8,10.3
2023-11-22T04:00:00+00:00,10.4,10.1,10.7
2023-11-22T05:00:00+00:00,13.4,13.0,13.8
2023-11-22T06:00:00+00:00,13.4,13.0,13.8
2023-11-22T07:00:00+00:00,9.8,9.5,10.0
2023-11-22T08:00:00+00:00,7.5,7.3,7.7
2023-11-22T09:00:00+00:00,7.7,7.5,8.0
2023-11-22T10:00:00+00:00,6.6,6.3,6.9
2023-11-22T11:00:00+00:00,4.9,4.4,5.4
2023-11-22T12:00:00+00:00,5.0,4.3,5.7
2023-11-22T13:00:00+00:00,6.3,5.6,7.0
2023-11-22T14:00:00+00:00,6.9,6.1,7.7
2023-11-22T15:00:00+00:00,13.9,12.7,15.2
2023-11-22T16:00:00+00:00,18.7,18.8,18.6
2023-11-22T17:00:00+00:00,29.4,30.3,28.6
2023-11-22T18:00:00+00:00,36.4,37.9,34.9
2023-11-22T19:00:00+00:00,32.2,33.0,31.3
2023-11-22T20:00:00+00:00,31.7,32.7,30.7
2023-11-22T21:00:00+00:00,31.0,31.7,30.3
2023-11-22T22:00:00+00:00,25.4,25.3,25.5
2023-11-22T23:00:00+00:00,16.2,15.6,16.8
2023-11-23T00:00:00+00:00,11.9,11.5,12.2
2023-11-23T01:00:00+00:00,12.4,11.7,13.1
2023-11-23T02:00:00+00:00,22.3,21.6,23.0
2023-11-23T03:00:00+00:00,28.6,28.8,28.4
2023-11-23T04:00:00+00:00,32.3,33.2,31.3
2023-11-23T05:00:00+00:00,36.3,37.9,34.6
2023-11-23T06:00:00+00:00,33.2,34.0,32.5
2023-11-23T07:00:00+00:00,31.6,31.5,31.8
2023-11-23T08:00:00+00:00,28.4,27.8,29.0
2023-11-23T09:00:00+00:00,23.6,23.1,24.2
2023-11-23T10:00:00+00:00,22.7,22.1,23.3
2023-11-23T11:00:00+00:00,22.1,21.6,22.6
2023-11-23T12:00:00+00:00,25.2,24.5,25.8
2023-11-23T13:00:00+00:00,28.2,27.8,28.6
2023-11-23T14:00:00+00:00,30.6,30.1,31.0
2023-11-23T15:00:00+00:00,29.7,28.8,30.6
2023-11-23T16:00:00+00:00,43.4,45.7,41.1
2023-11-23T17:00:00+00:00,46.4,49.0,43.9
2023-11-23T18:00:00+00:00,44.6,46.4,42.8
2023-11-23T19:00:00+00:00,37.2,38.1,36.3
2023-11-23T20:00:00+00:00,32.1,32.6,31.7
2023-11-23T21:00:00+00:00,20.6,20.2,21.0
2023-11-23T22:00:00+00:00,17.2,16.6,17.8
2023-11-23T23:00:00+00:00,24.1,23.7,24.6
2023-11-24T00:00:00+00:00,34.5,35.5,33.4
2023-11-24T01:00:00+00:00,34.7,35.6,33.9
2023-11-24T02:00:00+00:00,31.5,31.9,31.1
2023-11-24T03:00:00+00:00,25.9,26.0,25.8
2023-11-24T04:00:00+00:00,27.5,27.1,27.9
2023-11-24T05:00:00+00:00,27.9,27.5,28.3
2023-11-24T06:00:00+00:00,31.8,32.6,31.0
2023-11-24T07:00:00+00:00,34.1,34.9,33.2
2023-11-24T08:00:00+00:00,34.1,34.4,33.8
2023-11-24T09:00:00+00:00,34.5,34.5,34.5
2023-11-24T10:00:00+00:00,37.2,37.6,36.8
2023-11-24T11:00:00+00:00,37.5,37.3,37.8
2023-11-24T12:00:00+00:00,36.5,35.9,37.1
2023-11-24T13:00:00+00:00,35.4,34.1,36.7
2023-11-24T14:00:00+00:00,31.7,29.9,33.5
2023-11-24T15:00:00+00:00,24.6,22.3,27.0
2023-11-24T16:00:00+00:00,15.2,14.6,15.8
2023-11-24T17:00:00+00:00,15.0,14.8,15.2
2023-11-24T18:00:00+00:00,23.1,23.0,23.3
2023-11-24T19:00:00+00:00,29.6,30.3,28.8
2023-11-24T20:00:00+00:00,29.4,30.1,28.7
2023-11-24T21:00:00+00:00,28.5,29.1,27.9
2023-11-24T22:00:00+00:00,23.7,23.6,23.9
2023-11-24T23:00:00+00:00,22.5,22.5,22.5
2023-11-25T00:00:00+00:00,22.8,22.7,22.8
2023-11-25T01:00:00+00:00,22.9,22.6,23.1
2023-11-25T02:00:00+00:00,27.3,26.9,27.8
2023-11-25T03:00:00+00:00,31.1,31.4,30.7
2023-11-25T04:00:00+00:00,36.6,37.9,35.3
2023-11-25T05:00:00+00:00,28.7,28.1,29.3
2023-11-25T06:00:00+00:00,26.6,25.4,27.9
2023-11-25T07:00:00+00:00,27.3,25.6,28.9
2023-11-25T08:00:00+00:00,27.8,25.8,29.8
2023-11-25T09:00:00+00:00,32.5,31.0,33.9
2023-11-25T10:00:00+00:00,32.3,30.6,33.9
2023-11-25T11:00:00+00:00,35.0,34.1,35.9
2023-11-25T12:00:00+00:00,28.2,25.4,31.1
2023-11-25T13:00:00+00:00,27.4,24.1,30.7
2023-11-25T14:00:00+00:00,30.4,29.7,31.1
2023-11-25T15:00:00+00:00,32.3,33.3,31.3
2023-11-25T16:00:00+00:00,32.6,33.7,31.5
2023-11-25T17:00:00+00:00,33.3,34.7,32.0
2023-11-25T18:00:00+00:00,26.0,26.1,25.9
2023-11-25T19:00:00+00:00,25.6,26.1,25.1
2023-11-25T20:00:00+00:00,27.8,28.3,27.3
2023-11-25T21:00:00+00:00,31.0,31.5,30.5
2023-11-25T22:00:00+00:00,36.3,37.7,34.9
2023-11-25T23:00:00+00:00,35.9,37.0,34.8
2023-11-26T00:00:00+00:00,25.1,24.8,25.4
2023-11-26T01:00:00+00:00,26.6,26.5,26.8
2023-11-26T02:00:00+00:00,24.6,24.1,25.0
2023-11-26T03:00:00+00:00,26.4,25.6,27.2
2023-11-26T04:00:00+00:00,29.3,28.9,29.6
2023-11-26T05:00:00+00:00,31.6,30.7,32.4
2023-11-26T06:00:00+00:00,37.6,38.3,36.9
2023-11-26T07:00:00+00:00,42.3,43.5,41.2
2023-11-26T08:00:00+00:00,38.4,38.0,38.7
2023-11-26T09:00:00+00:00,35.4,34.4,36.5
2023-11-26T10:00:00+00:00,30.9,28.4,33.4
2023-11-26T11:00:00+00:00,25.0,21.8,28.1
2023-11-26T12:00:00+00:00,19.8,16.6,22.9
2023-11-26T13:00:00+00:00,17.7,15.1,20.3
2023-11-26T14:00:00+00:00,18.3,16.0,20.7
2023-11-26T15:00:00+00:00,21.0,18.5,23.5
2023-11-26T16:00:00+00:00,25.2,24.6,25.7
2023-11-26T17:00:00+00:00,21.4,21.3,21.6
2023-11-26T18:00:00+00:00,14.5,14.4,14.5
2023-11-26T19:00:00+00:00,16.5,16.4,16.5
2023-11-26T20:00:00+00:00,22.2,21.7,22.7
2023-11-26T21:00:00+00:00,26.0,25.7,26.3
2023-11-26T22:00:00+00:00,23.5,22.9,24.1
2023-11-26T23:00:00+00:00,22.3,21.5,23.0
2023-11-27T00:00:00+00:00,18.0,17.3,18.6
2023-11-27T01:00:00+00:00,20.1,19.5,20.7
2023-11-27T02:00:00+00:00,23.9,23.1,24.6
2023-11-27T03:00:00+00:00,28.9,28.2,29.7
2023-11-27T04:00:00+00:00,24.4,23.1,25.7
2023-11-27T05:00:00+00:00,11.5,10.4,12.6
2023-11-27T06:00:00+00:00,10.0,9.0,11.0
2023-11-27T07:00:00+00:00,11.5,10.5,12.5
2023-11-27T08:00:00+00:00,11.6,10.1,13.2
2023-11-27T09:00:00+00:00,10.8,9.4,12.1
2023-11-27T10:00:00+00:00,12.0,10.2,13.9
2023-11-27T11:00:00+00:00,12.8,10.9,14.7
2023-11-27T12:00:00+00:00,13.3,11.1,15.5
2023-11-27T13:00:00+00:00,12.3,10.3,14.4
2023-11-27T14:00:00+00:00,15.6,13.1,18.1
2023-11-27T15:00:00+00:00,18.4,15.7,21.2
2023-11-27T16:00:00+00:00,9.3,8.5,10.1
2023-11-27T17:00:00+00:00,9.0,8.8,9.1
2023-11-27T18:00:00+00:00,8.1,8.1,8.0
2023-11-27T19:00:00+00:00,7.3,7.1,7.5
2023-11-27T20:00:00+00:00,10.2,10.2,10.2
2023-11-27T21:00:00+00:00,12.1,11.6,12.5
2023-11-27T22:00:00+00:00,9.0,8.5,9.4
2023-11-27T23:00:00+00:00,7.2,6.8,7.5
2023-11-28T00:00:00+00:00,10.8,10.8,10.8
2023-11-28T01:00:00+00:00,9.7,9.6,9.8
2023-11-28T02:00:00+00:00,11.5,11.0,11.9
2023-11-28T03:00:00+00:00,13.2,12.7,13.6
2023-11-28T04:00:00+00:00,15.2,15.0,15.5
2023-11-28T05:00:00+00:00,11.1,10.3,12.0
2023-11-28T06:00:00+00:00,20.5,20.0,20.9
2023-11-28T07:00:00+00:00,20.5,18.7,22.3
2023-11-28T08:00:00+00:00,13.4,11.7,15.1
2023-11-28T09:00:00+00:00,9.6,8.1,11.1
2023-11-28T10:00:00+00:00,10.7,9.0,12.3
2023-11-28T11:00:00+00:00,9.8,8.2,11.5
2023-11-28T12:00:00+00:00,10.4,9.0,11.8
2023-11-28T13:00:00+00:00,11.2,9.4,13.0
2023-11-28T14:00:00+00:00,10.6,9.0,12.1
2023-11-28T15:00:00+00:00,15.6,13.6,17.6
2023-11-28T16:00:00+00:00,13.7,13.0,14.4
2023-11-28T17:00:00+00:00,7.2,7.0,7.3
2023-11-28T18:00:00+00:00,8.3,8.3,8.4
2023-11-28T19:00:00+00:00,8.4,8.6,8.2
2023-11-28T20:00:00+00:00,7.7,7.5,7.8
2023-11-28T21:00:00+00:00,10.0,9.6,10.4
2023-11-28T22:00:00+00:00,8.9,8.4,9.3
2023-11-28T23:00:00+00:00,6.7,6.2,7.1
2023-11-29T00:00:00+00:00,5.9,5.6,6.2
2023-11-29T01:00:00+00:00,7.0,6.6,7.4
2023-11-29T02:00:00+00:00,9.2,8.6,9.7
2023-11-29T03:00:00+00:00,10.8,10.2,11.4
2023-11-29T04:00:00+00:00,18.5,17.8,19.1
2023-11-29T05:00:00+00:00,13.5,12.6,14.3
2023-11-29T06:00:00+00:00,8.4,7.7,9.1
2023-11-29T07:00:00+00:00,6.8,5.9,7.6
2023-11-29T08:00:00+00:00,5.6,4.8,6.4
2023-11-29T09:00:00+00:00,4.6,3.7,5.5
2023-11-29T10:00:00+00:00,4.3,3.6,5.0
2023-11-29T11:00:00+00:00,4.6,3.9,5.3
2023-11-29T12:00:00+00:00,5.1,4.2,6.0
2023-11-29T13:00:00+00:00,4.8,4.0,5.7
2023-11-29T14:00:00+00:00,6.6,5.6,7.7
2023-11-29T15:00:00+00:00,9.0,7.7,10.3
2023-11-29T16:00:00+00:00,6.2,5.6,6.8
2023-11-29T17:00:00+00:00,5.7,5.3,6.0
2023-11-29T18:00:00+00:00,8.1,7.6,8.7
2023-11-29T19:00:00+00:00,9.1,8.9,9.3
2023-11-29T20:00:00+00:00,12.0,11.5,12.4
2023-11-29T21:00:00+00:00,12.9,12.0,13.9
2023-11-29T22:00:00+00:00,11.6,10.8,12.5
2023-11-29T23:00:00+00:00,9.7,8.9,10.5
2023-11-30T00:00:00+00:00,9.3,8.3,10.3
2023-11-30T01:00:00+00:00,10.2,9.3,11.2
2023-11-30T02:00:00+00:00,14.9,13.6,16.3
2023-11-30T03:00:00+00:00,19.9,18.1,21.7
2023-11-30T04:00:00+00:00,22.7,20.7,24.8
2023-11-30T05:00:00+00:00,23.4,21.0,25.8
2023-11-30T06:00:00+00:00,23.3,20.8,25.8
2023-11-30T07:00:00+00:00,22.1,18.9,25.3
2023-11-30T08:00:00+00:00,20.4,17.0,23.8
2023-11-30T09:00:00+00:00,17.5,14.3,20.6
2023-11-30T10:00:00+00:00,16.9,13.5,20.4
2023-11-30T11:00:00+00:00,16.4,13.3,19.6
2023-11-30T12:00:00+00:00,13.8,11.2,16.5
2023-11-30T13:00:00+00:00,12.3,10.1,14.4
2023-11-30T14:00:00+00:00,12.3,10.2,14.4
2023-11-30T15:00:00+00:00,13.4,11.6,15.1
2023-11-30T16:00:00+00:00,12.7,11.6,13.8
2023-11-30T17:00:00+00:00,14.9,13.9,15.9
2023-11-30T18:00:00+00:00,11.8,11.5,12.1
2023-11-30T19:00:00+00:00,13.3,13.0,13.6
2023-11-30T20:00:00+00:00,17.5,17.1,17.9
2023-11-30T21:00:00+00:00,16.6,15.8,17.4
2023-11-30T22:00:00+00:00,10.8,10.4,11.1
2023-11-30T23:00:00+00:00,7.4,7.3,7.5
2023-12-01T00:00:00+00:00,8.2,7.8,8.6
2023-12-01T01:00:00+00:00,8.1,7.9,8.4
2023-12-01T02:00:00+00:00,10.6,10.2,11.1
2023-12-01T03:00:00+00:00,12.5,11.9,13.0
2023-12-01T04:00:00+00:00,13.9,13.2,14.7
2023-12-01T05:00:00+00:00,18.8,17.7,19.9
2023-12-01T06:00:00+00:00,21.5,20.3,22.7
2023-12-01T07:00:00+00:00,4.8,4.0,5.5
2023-12-01T08:00:00+00:00,9.2,8.5,10.0
2023-12-01T09:00:00+00:00,10.8,9.6,12.1
2023-12-01T10:00:00+00:00,7.9,6.7,9.0
2023-12-01T11:00:00+00:00,6.8,5.6,8.0
2023-12-01T12:00:00+00:00,4.8,3.7,5.9
2023-12-01T13:00:00+00:00,5.2,4.2,6.3
2023-12-01T14:00:00+00:00,5.5,4.4,6.6
2023-12-01T15:00:00+00:00,5.9,4.7,7.2
2023-12-01T16:00:00+00:00,5.8,4.9,6.7
2023-12-01T17:00:00+00:00,5.4,4.7,6.2
2023-12-01T18:00:00+00:00,10.2,9.7,10.7
2023-12-01T19:00:00+00:00,10.3,9.9,10.8
2023-12-01T20:00:00+00:00,9.7,9.4,10.0
2023-12-01T21:00:00+00:00,13.1,12.6,13.5
2023-12-01T22:00:00+00:00,10.4,9.7,11.0
2023-12-01T23:00:00+00:00,9.7,9.3,10.1
2023-12-02T00:00:00+00:00,8.5,8.1,8.8
2023-12-02T01:00:00+00:00,9.5,8.9,10.1
2023-12-02T02:00:00+00:00,12.0,11.3,12.6
2023-12-02T03:00:00+00:00,12.9,12.2,13.6
2023-12-02T04:00:00+00:00,15.1,14.2,16.0
2023-12-02T05:00:00+00:00,21.9,20.7,23.1
2023-12-02T06:00:00+00:00,14.4,13.3,15.5
2023-12-02T07:00:00+00:00,17.5,16.4,18.6
2023-12-02T08:00:00+00:00,12.7,11.6,13.9
2023-12-02T09:00:00+00:00,13.0,11.2,14.8
2023-12-02T10:00:00+00:00,9.1,7.8,10.4
2023-12-02T11:00:00+00:00,10.3,8.5,12.0
2023-12-02T12:00:00+00:00,11.4,9.6,13.2
2023-12-02T13:00:00+00:00,14.2,12.1,16.3
2023-12-02T14:00:00+00:00,15.3,13.1,17.5
2023-12-02T15:00:00+00:00,18.1,15.7,20.4
2023-12-02T16:00:00+00:00,22.5,21.4,23.5
2023-12-02T17:00:00+00:00,26.1,25.6,26.5
2023-12-02T18:00:00+00:00,29.7,30.5,29.0
2023-12-02T19:00:00+00:00,31.6,33.1,30.2
2023-12-02T20:00:00+00:00,17.8,17.7,17.9
2023-12-02T21:00:00+00:00,13.4,13.1,13.8
2023-12-02T22:00:00+00:00,10.9,10.5,11.2
2023-12-02T23:00:00+00:00,9.1,9.0,9.3
2023-12-03T00:00:00+00:00,9.4,9.1,9.8
2023-12-03T01:00:00+00:00,13.7,13.4,13.9
2023-12-03T02:00:00+00:00,21.6,21.2,22.1
2023-12-03T03:00:00+00:00,20.4,19.8,20.9
2023-12-03T04:00:00+00:00,22.8,21.9,23.7
2023-12-03T05:00:00+00:00,22.0,21.5,22.6
