time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-11-15T17:00:00+00:00,8.6,8.6,28
2023-11-15T18:00:00+00:00,5.0,5.0,22
2023-11-15T19:00:00+00:00,3.9,4.0,18
2023-11-15T20:00:00+00:00,5.3,5.3,21
2023-11-15T21:00:00+00:00,8.2,8.2,25
2023-11-15T22:00:00+00:00,6.9,6.9,34
2023-11-15T23:00:00+00:00,6.4,6.4,48
2023-11-16T00:00:00+00:00,9.4,9.5,62
2023-11-16T01:00:00+00:00,8.9,8.9,63
2023-11-16T02:00:00+00:00,5.2,5.2,67
2023-11-16T03:00:00+00:00,4.3,4.3,71
2023-11-16T04:00:00+00:00,2.9,2.9,55
2023-11-16T05:00:00+00:00,4.0,4.0,66
2023-11-16T06:00:00+00:00,4.6,4.6,71
2023-11-16T07:00:00+00:00,7.3,7.3,75
2023-11-16T08:00:00+00:00,7.2,7.2,85
2023-11-16T09:00:00+00:00,5.9,5.9,86
2023-11-16T10:00:00+00:00,4.7,4.7,85
2023-11-16T11:00:00+00:00,4.8,4.8,86
2023-11-16T12:00:00+00:00,6.3,6.3,83
2023-11-16T13:00:00+00:00,5.6,5.6,80
2023-11-16T14:00:00+00:00,3.9,3.9,83
2023-11-16T15:00:00+00:00,3.6,3.6,80
2023-11-16T16:00:00+00:00,1.8,1.8,47
2023-11-16T17:00:00+00:00,1.6,1.6,39
2023-11-16T18:00:00+00:00,0.1,0.1,28
2023-11-16T19:00:00+00:00,0.1,0.1,28
2023-11-16T20:00:00+00:00,0.7,0.7,30
2023-11-16T21:00:00+00:00,0.3,0.3,33
2023-11-16T22:00:00+00:00,0.2,0.2,32
2023-11-16T23:00:00+00:00,0.2,0.2,32
2023-11-17T00:00:00+00:00,0.4,0.4,33
2023-11-17T01:00:00+00:00,0.9,0.9,40
2023-11-17T02:00:00+00:00,1.8,1.8,44
2023-11-17T03:00:00+00:00,10.6,10.6,58
2023-11-17T04:00:00+00:00,13.8,13.8,64
2023-11-17T05:00:00+00:00,17.2,17.2,72
2023-11-17T06:00:00+00:00,26.5,26.7,80
2023-11-17T07:00:00+00:00,26.9,27.0,83
2023-11-17T08:00:00+00:00,23.5,23.6,85
2023-11-17T09:00:00+00:00,15.0,15.0,84
2023-11-17T10:00:00+00:00,25.1,25.2,87
2023-11-17T11:00:00+00:00,21.2,21.2,89
2023-11-17T12:00:00+00:00,16.0,16.0,88
2023-11-17T13:00:00+00:00,15.2,17.3,86
2023-11-17T14:00:00+00:00,9.5,10.4,82
2023-11-17T15:00:00+00:00,6.8,6.8,75
2023-11-17T16:00:00+00:00,6.8,6.8,54
2023-11-17T17:00:00+00:00,4.1,4.1,35
2023-11-17T18:00:00+00:00,3.2,3.2,30
2023-11-17T19:00:00+00:00,3.2,3.2,27
2023-11-17T20:00:00+00:00,3.4,3.4,27
2023-11-17T21:00:00+00:00,3.8,3.8,28
2023-11-17T22:00:00+00:00,3.8,3.8,29
2023-11-17T23:00:00+00:00,2.9,2.9,30
2023-11-18T00:00:00+00:00,2.8,2.8,33
2023-11-18T01:00:00+00:00,2.8,2.8,32
2023-11-18T02:00:00+00:00,5.7,5.7,32
2023-11-18T03:00:00+00:00,12.9,12.9,42
2023-11-18T04:00:00+00:00,3.6,3.6,44
2023-11-18T05:00:00+00:00,4.4,4.4,57
2023-11-18T06:00:00+00:00,3.3,3.3,55
2023-11-18T07:00:00+00:00,3.1,3.1,57
2023-11-18T08:00:00+00:00,4.0,4.0,59
2023-11-18T09:00:00+00:00,3.2,3.2,59
2023-11-18T10:00:00+00:00,4.5,4.5,64
2023-11-18T11:00:00+00:00,6.4,6.4,68
2023-11-18T12:00:00+00:00,4.8,4.8,61
2023-11-18T13:00:00+00:00,6.2,6.2,61
2023-11-18T14:00:00+00:00,2.0,2.0,55
2023-11-18T15:00:00+00:00,0.6,0.6,50
2023-11-18T16:00:00+00:00,0.1,0.1,40
2023-11-18T17:00:00+00:00,0.1,0.1,49
2023-11-18T18:00:00+00:00,0.7,0.7,77
2023-11-18T19:00:00+00:00,1.2,1.2,78
2023-11-18T20:00:00+00:00,3.8,3.8,86
2023-11-18T21:00:00+00:00,0.8,0.8,73
2023-11-18T22:00:00+00:00,0.1,0.1,60
2023-11-18T23:00:00+00:00,0.1,0.1,55
2023-11-19T00:00:00+00:00,0.2,0.2,57
2023-11-19T01:00:00+00:00,2.8,2.8,76
2023-11-19T02:00:00+00:00,5.4,5.4,83
2023-11-19T03:00:00+00:00,2.3,2.3,81
2023-11-19T04:00:00+00:00,6.1,6.1,84
2023-11-19T05:00:00+00:00,8.3,8.3,86
2023-11-19T06:00:00+00:00,9.9,9.9,86
2023-11-19T07:00:00+00:00,10.0,10.0,93
2023-11-19T08:00:00+00:00,11.7,11.7,99
2023-11-19T09:00:00+00:00,7.0,7.0,99
2023-11-19T10:00:00+00:00,1.1,1.1,85
2023-11-19T11:00:00+00:00,1.1,1.1,87
2023-11-19T12:00:00+00:00,1.3,1.3,90
2023-11-19T13:00:00+00:00,1.5,1.5,90
2023-11-19T14:00:00+00:00,1.3,1.3,93
2023-11-19T15:00:00+00:00,1.5,1.5,94
2023-11-19T16:00:00+00:00,1.5,1.5,70
2023-11-19T17:00:00+00:00,1.1,1.1,51
2023-11-19T18:00:00+00:00,1.1,1.1,44
2023-11-19T19:00:00+00:00,0.7,0.7,39
2023-11-19T20:00:00+00:00,0.3,0.3,38
2023-11-19T21:00:00+00:00,0.3,0.3,39
2023-11-19T22:00:00+00:00,0.2,0.2,35
2023-11-19T23:00:00+00:00,0.1,0.1,36
2023-11-20T00:00:00+00:00,0.1,0.1,38
2023-11-20T01:00:00+00:00,0.1,0.1,41
2023-11-20T02:00:00+00:00,0.4,0.4,44
2023-11-20T03:00:00+00:00,0.3,0.3,46
2023-11-20T04:00:00+00:00,0.4,0.4,50
2023-11-20T05:00:00+00:00,0.8,0.8,58
2023-11-20T06:00:00+00:00,1.5,1.5,66
2023-11-20T07:00:00+00:00,5.0,5.0,73
2023-11-20T08:00:00+00:00,5.5,5.5,79
2023-11-20T09:00:00+00:00,1.4,1.4,80
2023-11-20T10:00:00+00:00,1.3,1.3,82
2023-11-20T11:00:00+00:00,2.1,2.1,85
2023-11-20T12:00:00+00:00,2.9,2.9,87
2023-11-20T13:00:00+00:00,5.2,5.2,87
2023-11-20T14:00:00+00:00,6.0,6.0,89
2023-11-20T15:00:00+00:00,8.2,8.2,86
2023-11-20T16:00:00+00:00,8.6,8.6,54
2023-11-20T17:00:00+00:00,7.5,7.5,39
2023-11-20T18:00:00+00:00,6.8,6.8,35
2023-11-20T19:00:00+00:00,7.0,7.0,30
2023-11-20T20:00:00+00:00,5.7,5.7,29
2023-11-20T21:00:00+00:00,3.7,3.7,31
2023-11-20T22:00:00+00:00,4.4,4.4,30
2023-11-20T23:00:00+00:00,3.9,3.9,29
2023-11-21T00:00:00+00:00,6.9,6.9,30
2023-11-21T01:00:00+00:00,2.4,2.4,37
2023-11-21T02:00:00+00:00,5.2,5.2,42
2023-11-21T03:00:00+00:00,15.6,15.6,51
2023-11-21T04:00:00+00:00,16.3,16.4,59
2023-11-21T05:00:00+00:00,9.5,9.5,61
2023-11-21T06:00:00+00:00,9.3,9.3,66
2023-11-21T07:00:00+00:00,10.5,10.7,69
2023-11-21T08:00:00+00:00,5.7,5.7,73
2023-11-21T09:00:00+00:00,4.2,4.2,76
2023-11-21T10:00:00+00:00,4.1,4.1,78
2023-11-21T11:00:00+00:00,5.0,5.0,79
2023-11-21T12:00:00+00:00,5.9,5.9,80
2023-11-21T13:00:00+00:00,5.6,5.6,80
2023-11-21T14:00:00+00:00,6.0,6.0,81
2023-11-21T15:00:00+00:00,10.3,10.3,79
2023-11-21T16:00:00+00:00,17.9,17.9,51
2023-11-21T17:00:00+00:00,12.0,12.0,34
2023-11-21T18:00:00+00:00,10.5,10.5,29
2023-11-21T19:00:00+00:00,5.2,5.2,26
2023-11-21T20:00:00+00:00,2.7,2.7,22
2023-11-21T21:00:00+00:00,2.4,2.4,22
2023-11-21T22:00:00+00:00,1.9,1.9,20
2023-11-21T23:00:00+00:00,2.4,2.4,20
2023-11-22T00:00:00+00:00,5.0,5.0,24
2023-11-22T01:00:00+00:00,5.7,5.7,29
2023-11-22T02:00:00+00:00,8.6,8.6,34
2023-11-22T03:00:00+00:00,10.0,10.0,40
2023-11-22T04:00:00+00:00,10.4,10.4,48
2023-11-22T05:00:00+00:00,13.4,13.4,57
2023-11-22T06:00:00+00:00,13.4,13.4,60
2023-11-22T07:00:00+00:00,9.8,9.8,60
2023-11-22T08:00:00+00:00,7.5,7.5,60
2023-11-22T09:00:00+00:00,7.7,7.7,68
2023-11-22T10:00:00+00:00,6.6,6.6,69
2023-11-22T11:00:00+00:00,4.9,4.9,70
2023-11-22T12:00:00+00:00,5.0,5.0,72
2023-11-22T13:00:00+00:00,6.3,6.3,70
2023-11-22T14:00:00+00:00,6.9,6.9,71
2023-11-22T15:00:00+00:00,13.9,13.9,69
2023-11-22T16:00:00+00:00,18.7,18.7,44
2023-11-22T17:00:00+00:00,29.4,30.7,33
2023-11-22T18:00:00+00:00,36.4,39.7,28
2023-11-22T19:00:00+00:00,32.2,33.5,28
2023-11-22T20:00:00+00:00,31.7,32.9,26
2023-11-22T21:00:00+00:00,31.0,31.7,28
2023-11-22T22:00:00+00:00,25.4,25.6,26
2023-11-22T23:00:00+00:00,16.2,16.2,25
2023-11-23T00:00:00+00:00,11.9,11.9,29
2023-11-23T01:00:00+00:00,12.4,12.4,36
2023-11-23T02:00:00+00:00,22.3,22.3,37
2023-11-23T03:00:00+00:00,28.6,28.8,42
2023-11-23T04:00:00+00:00,32.3,33.1,45
2023-11-23T05:00:00+00:00,36.3,38.9,48
2023-11-23T06:00:00+00:00,33.2,34.4,49
2023-11-23T07:00:00+00:00,31.6,32.5,50
2023-11-23T08:00:00+00:00,28.4,28.7,52
2023-11-23T09:00:00+00:00,23.6,23.6,58
2023-11-23T10:00:00+00:00,22.7,22.7,62
2023-11-23T11:00:00+00:00,22.1,22.1,63
2023-11-23T12:00:00+00:00,25.2,25.2,61
2023-11-23T13:00:00+00:00,28.2,28.4,64
2023-11-23T14:00:00+00:00,30.6,31.3,71
2023-11-23T15:00:00+00:00,29.7,30.4,67
2023-11-23T16:00:00+00:00,43.4,50.0,44
2023-11-23T17:00:00+00:00,46.4,57.2,34
2023-11-23T18:00:00+00:00,44.6,54.9,30
2023-11-23T19:00:00+00:00,37.2,42.0,28
2023-11-23T20:00:00+00:00,32.1,33.7,28
2023-11-23T21:00:00+00:00,20.6,20.6,28
2023-11-23T22:00:00+00:00,17.2,17.2,27
2023-11-23T23:00:00+00:00,24.1,24.2,28
2023-11-24T00:00:00+00:00,34.5,36.1,31
2023-11-24T01:00:00+00:00,34.7,36.5,33
2023-11-24T02:00:00+00:00,31.5,32.3,35
2023-11-24T03:00:00+00:00,25.9,26.0,39
2023-11-24T04:00:00+00:00,27.5,27.7,45
2023-11-24T05:00:00+00:00,27.9,28.1,52
2023-11-24T06:00:00+00:00,31.8,32.6,59
2023-11-24T07:00:00+00:00,34.1,35.4,66
2023-11-24T08:00:00+00:00,34.1,35.7,70
2023-11-24T09:00:00+00:00,34.5,36.4,71
2023-11-24T10:00:00+00:00,37.2,39.8,72
2023-11-24T11:00:00+00:00,37.5,40.6,73
2023-11-24T12:00:00+00:00,36.5,39.2,77
2023-11-24T13:00:00+00:00,35.4,38.0,80
2023-11-24T14:00:00+00:00,31.7,33.1,81
2023-11-24T15:00:00+00:00,24.6,24.8,78
2023-11-24T16:00:00+00:00,15.2,15.2,54
2023-11-24T17:00:00+00:00,15.0,15.0,40
2023-11-24T18:00:00+00:00,23.1,23.2,32
2023-11-24T19:00:00+00:00,29.6,29.8,31
2023-11-24T20:00:00+00:00,29.4,29.7,30
2023-11-24T21:00:00+00:00,28.5,28.6,33
2023-11-24T22:00:00+00:00,23.7,23.7,33
2023-11-24T23:00:00+00:00,22.5,22.5,32
2023-11-25T00:00:00+00:00,22.8,22.8,35
2023-11-25T01:00:00+00:00,22.9,22.9,40
2023-11-25T02:00:00+00:00,27.3,27.5,45
2023-11-25T03:00:00+00:00,31.1,31.8,53
2023-11-25T04:00:00+00:00,36.6,39.2,60
2023-11-25T05:00:00+00:00,28.7,29.2,64
2023-11-25T06:00:00+00:00,26.6,26.9,63
2023-11-25T07:00:00+00:00,27.3,27.5,67
2023-11-25T08:00:00+00:00,27.8,28.3,71
2023-11-25T09:00:00+00:00,32.5,34.0,74
2023-11-25T10:00:00+00:00,32.3,33.8,75
2023-11-25T11:00:00+00:00,35.0,37.4,76
2023-11-25T12:00:00+00:00,28.2,28.9,79
2023-11-25T13:00:00+00:00,27.4,28.0,79
2023-11-25T14:00:00+00:00,30.4,31.2,80
2023-11-25T15:00:00+00:00,32.3,33.4,80
2023-11-25T16:00:00+00:00,32.6,33.8,51
2023-11-25T17:00:00+00:00,33.3,34.4,36
2023-11-25T18:00:00+00:00,26.0,26.1,31
2023-11-25T19:00:00+00:00,25.6,25.6,27
2023-11-25T20:00:00+00:00,27.8,27.9,27
2023-11-25T21:00:00+00:00,31.0,31.6,31
2023-11-25T22:00:00+00:00,36.3,39.2,31
2023-11-25T23:00:00+00:00,35.9,38.7,31
2023-11-26T00:00:00+00:00,25.1,25.1,32
2023-11-26T01:00:00+00:00,26.6,26.9,40
2023-11-26T02:00:00+00:00,24.6,24.6,47
2023-11-26T03:00:00+00:00,26.4,26.6,53
2023-11-26T04:00:00+00:00,29.3,29.8,54
2023-11-26T05:00:00+00:00,31.6,32.7,60
2023-11-26T06:00:00+00:00,37.6,40.5,66
2023-11-26T07:00:00+00:00,42.3,47.4,69
2023-11-26T08:00:00+00:00,38.4,41.7,71
2023-11-26T09:00:00+00:00,35.4,37.9,71
2023-11-26T10:00:00+00:00,30.9,32.3,73
2023-11-26T11:00:00+00:00,25.0,25.2,75
2023-11-26T12:00:00+00:00,19.8,19.8,73
2023-11-26T13:00:00+00:00,17.7,17.7,76
2023-11-26T14:00:00+00:00,18.3,18.3,77
2023-11-26T15:00:00+00:00,21.0,21.1,74
2023-11-26T16:00:00+00:00,25.2,25.3,45
2023-11-26T17:00:00+00:00,21.4,21.4,32
2023-11-26T18:00:00+00:00,14.5,14.5,26
2023-11-26T19:00:00+00:00,16.5,16.5,25
2023-11-26T20:00:00+00:00,22.2,22.2,26
2023-11-26T21:00:00+00:00,26.0,26.2,27
2023-11-26T22:00:00+00:00,23.5,23.5,27
2023-11-26T23:00:00+00:00,22.3,22.3,30
2023-11-27T00:00:00+00:00,18.0,18.0,33
2023-11-27T01:00:00+00:00,20.1,20.2,37
2023-11-27T02:00:00+00:00,23.9,23.9,44
2023-11-27T03:00:00+00:00,28.9,29.4,49
2023-11-27T04:00:00+00:00,24.4,24.6,50
2023-11-27T05:00:00+00:00,11.5,11.5,45
2023-11-27T06:00:00+00:00,10.0,10.0,46
2023-11-27T07:00:00+00:00,11.5,11.5,50
2023-11-27T08:00:00+00:00,11.6,11.6,61
2023-11-27T09:00:00+00:00,10.8,10.8,68
2023-11-27T10:00:00+00:00,12.0,12.0,66
2023-11-27T11:00:00+00:00,12.8,12.8,68
2023-11-27T12:00:00+00:00,13.3,13.3,71
2023-11-27T13:00:00+00:00,12.3,12.3,72
2023-11-27T14:00:00+00:00,15.6,15.6,71
2023-11-27T15:00:00+00:00,18.4,18.4,67
2023-11-27T16:00:00+00:00,9.3,9.3,38
2023-11-27T17:00:00+00:00,9.0,9.0,25
2023-11-27T18:00:00+00:00,8.1,8.1,21
2023-11-27T19:00:00+00:00,7.3,7.3,19
2023-11-27T20:00:00+00:00,10.2,10.2,20
2023-11-27T21:00:00+00:00,12.1,12.1,22
2023-11-27T22:00:00+00:00,9.0,9.0,23
2023-11-27T23:00:00+00:00,7.2,7.2,23
2023-11-28T00:00:00+00:00,10.8,10.8,25
2023-11-28T01:00:00+00:00,9.7,9.7,33
2023-11-28T02:00:00+00:00,11.5,11.5,38
2023-11-28T03:00:00+00:00,13.2,13.2,43
2023-11-28T04:00:00+00:00,15.2,15.2,46
2023-11-28T05:00:00+00:00,11.1,11.1,44
2023-11-28T06:00:00+00:00,20.5,23.1,46
2023-11-28T07:00:00+00:00,20.5,20.5,50
2023-11-28T08:00:00+00:00,13.4,13.4,55
2023-11-28T09:00:00+00:00,9.6,9.6,54
2023-11-28T10:00:00+00:00,10.7,10.7,55
2023-11-28T11:00:00+00:00,9.8,9.8,58
2023-11-28T12:00:00+00:00,10.4,10.4,57
2023-11-28T13:00:00+00:00,11.2,11.2,59
2023-11-28T14:00:00+00:00,10.6,10.6,61
2023-11-28T15:00:00+00:00,15.6,15.6,60
2023-11-28T16:00:00+00:00,13.7,13.7,37
2023-11-28T17:00:00+00:00,7.2,7.2,23
2023-11-28T18:00:00+00:00,8.3,8.3,19
2023-11-28T19:00:00+00:00,8.4,8.4,17
2023-11-28T20:00:00+00:00,7.7,7.7,16
2023-11-28T21:00:00+00:00,10.0,10.0,17
2023-11-28T22:00:00+00:00,8.9,8.9,17
2023-11-28T23:00:00+00:00,6.7,6.7,16
2023-11-29T00:00:00+00:00,5.9,5.9,19
2023-11-29T01:00:00+00:00,7.0,7.0,24
2023-11-29T02:00:00+00:00,9.2,9.2,27
2023-11-29T03:00:00+00:00,10.8,10.8,33
2023-11-29T04:00:00+00:00,18.5,18.5,36
2023-11-29T05:00:00+00:00,13.5,13.5,38
2023-11-29T06:00:00+00:00,8.4,8.4,39
2023-11-29T07:00:00+00:00,6.8,6.8,38
2023-11-29T08:00:00+00:00,5.6,5.6,40
2023-11-29T09:00:00+00:00,4.6,4.6,42
2023-11-29T10:00:00+00:00,4.3,4.3,44
2023-11-29T11:00:00+00:00,4.6,4.6,49
2023-11-29T12:00:00+00:00,5.1,5.1,55
2023-11-29T13:00:00+00:00,4.8,4.8,57
2023-11-29T14:00:00+00:00,6.6,6.6,53
2023-11-29T15:00:00+00:00,9.0,9.0,46
2023-11-29T16:00:00+00:00,6.2,6.2,32
2023-11-29T17:00:00+00:00,5.7,5.7,25
2023-11-29T18:00:00+00:00,8.1,8.1,26
2023-11-29T19:00:00+00:00,9.1,9.1,24
2023-11-29T20:00:00+00:00,12.0,12.0,24
2023-11-29T21:00:00+00:00,12.9,12.9,28
2023-11-29T22:00:00+00:00,11.6,11.6,31
2023-11-29T23:00:00+00:00,9.7,9.7,32
2023-11-30T00:00:00+00:00,9.3,9.3,33
2023-11-30T01:00:00+00:00,10.2,10.2,37
2023-11-30T02:00:00+00:00,14.9,14.9,39
2023-11-30T03:00:00+00:00,19.9,19.9,41
2023-11-30T04:00:00+00:00,22.7,22.7,45
2023-11-30T05:00:00+00:00,23.4,23.5,49
2023-11-30T06:00:00+00:00,23.3,23.4,51
2023-11-30T07:00:00+00:00,22.1,22.1,55
2023-11-30T08:00:00+00:00,20.4,20.4,63
2023-11-30T09:00:00+00:00,17.5,17.5,66
2023-11-30T10:00:00+00:00,16.9,16.9,70
2023-11-30T11:00:00+00:00,16.4,16.4,71
2023-11-30T12:00:00+00:00,13.8,13.8,70
2023-11-30T13:00:00+00:00,12.3,12.3,71
2023-11-30T14:00:00+00:00,12.3,12.3,69
2023-11-30T15:00:00+00:00,13.4,13.4,64
2023-11-30T16:00:00+00:00,12.7,12.7,54
2023-11-30T17:00:00+00:00,14.9,14.9,46
2023-11-30T18:00:00+00:00,11.8,11.8,35
2023-11-30T19:00:00+00:00,13.3,13.3,29
2023-11-30T20:00:00+00:00,17.5,17.5,28
2023-11-30T21:00:00+00:00,16.6,16.6,30
2023-11-30T22:00:00+00:00,10.8,10.8,30
2023-11-30T23:00:00+00:00,7.4,7.4,36
2023-12-01T00:00:00+00:00,8.2,8.2,40
2023-12-01T01:00:00+00:00,8.1,8.1,43
2023-12-01T02:00:00+00:00,10.6,10.6,44
2023-12-01T03:00:00+00:00,12.5,12.5,48
2023-12-01T04:00:00+00:00,13.9,13.9,51
2023-12-01T05:00:00+00:00,18.8,18.8,52
2023-12-01T06:00:00+00:00,21.5,21.6,57
2023-12-01T07:00:00+00:00,4.8,4.8,80
2023-12-01T08:00:00+00:00,9.2,9.2,77
2023-12-01T09:00:00+00:00,10.8,10.8,81
2023-12-01T10:00:00+00:00,7.9,7.9,86
2023-12-01T11:00:00+00:00,6.8,6.8,90
2023-12-01T12:00:00+00:00,4.8,4.8,91
2023-12-01T13:00:00+00:00,5.2,5.2,90
2023-12-01T14:00:00+00:00,5.5,5.5,90
2023-12-01T15:00:00+00:00,5.9,5.9,91
2023-12-01T16:00:00+00:00,5.8,5.8,68
2023-12-01T17:00:00+00:00,5.4,5.4,56
2023-12-01T18:00:00+00:00,10.2,10.2,44
2023-12-01T19:00:00+00:00,10.3,10.3,39
2023-12-01T20:00:00+00:00,9.7,9.7,37
2023-12-01T21:00:00+00:00,13.1,13.1,39
2023-12-01T22:00:00+00:00,10.4,10.4,38
2023-12-01T23:00:00+00:00,9.7,9.7,38
2023-12-02T00:00:00+00:00,8.5,8.5,39
2023-12-02T01:00:00+00:00,9.5,9.5,44
2023-12-02T02:00:00+00:00,12.0,12.0,51
2023-12-02T03:00:00+00:00,12.9,12.9,59
2023-12-02T04:00:00+00:00,15.1,15.1,63
2023-12-02T05:00:00+00:00,21.9,21.9,65
2023-12-02T06:00:00+00:00,14.4,14.4,68
2023-12-02T07:00:00+00:00,17.5,17.9,72
2023-12-02T08:00:00+00:00,12.7,12.7,76
2023-12-02T09:00:00+00:00,13.0,13.0,80
2023-12-02T10:00:00+00:00,9.1,9.1,83
2023-12-02T11:00:00+00:00,10.3,10.3,83
2023-12-02T12:00:00+00:00,11.4,11.4,83
2023-12-02T13:00:00+00:00,14.2,14.2,84
2023-12-02T14:00:00+00:00,15.3,15.3,84
2023-12-02T15:00:00+00:00,18.1,18.1,82
2023-12-02T16:00:00+00:00,22.5,22.5,61
2023-12-02T17:00:00+00:00,26.1,26.1,48
2023-12-02T18:00:00+00:00,29.7,30.1,43
2023-12-02T19:00:00+00:00,31.6,32.5,35
2023-12-02T20:00:00+00:00,17.8,17.8,30
2023-12-02T21:00:00+00:00,13.4,13.4,33
2023-12-02T22:00:00+00:00,10.9,10.9,33
2023-12-02T23:00:00+00:00,9.1,9.1,34
2023-12-03T00:00:00+00:00,9.4,9.4,37
2023-12-03T01:00:00+00:00,13.7,13.7,41
2023-12-03T02:00:00+00:00,21.6,21.7,47
2023-12-03T03:00:00+00:00,20.4,20.4,50
2023-12-03T04:00:00+00:00,22.8,23.0,54
